Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
;2017;241933;9280;18550;21023;4360;1019685;247247;610;13531;31169;1297;40922;15625;120;3550;4300;13676;5232;10475;1200;219696;65036;84320;17480;27270;11520;0;26385;153397;55893;26850;1180;1990;49464;17948;4800;31193;14189;8390;6460;18712;118672;6040;220299;100252;29829;32850;6850;6756;85849;40003;780;79320;83967;829;16700;8239;62928;3594;13675;29071;45585;4604;6880;25653;29855;3725;79838;1970;12996;35579;8731;105770;57977;89204;1450;31903;2580069;365480;26680;0
;2018;201704;6580;11322;27935;23615;1023052;227949;700;6907;33267;2290;35099;10396;250;6010;490;6920;6856;20124;10890;212273;204534;140920;2900;27594;31650;520;42943;147611;76664;19091;1095;1360;63687;9330;4740;23201;9632;2980;2550;17544;104742;4900;397014;95454;74522;39750;8304;49100;70583;46902;1715;52904;95074;8051;15950;12209;80562;4901;12124;38723;72984;1674;11570;31176;44454;7656;84875;6440;22173;118490;9862;11393;57072;29908;10048;31967;3003641;354969;9915;2427
Tiyatro Salonu Sayýsý;2000;4;1;0;0;0;18;2;0;0;2;0;0;2;2;0;0;0;0;0;0;4;0;2;0;1;1;0;2;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;4;0;0;1;0;0;2;0;0;2;1;0;1;0;0;2;35;10;0;0
;2001;3;0;0;0;0;16;4;0;0;2;0;0;3;0;0;0;0;0;0;0;5;0;1;0;1;0;0;1;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;4;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;32;9;0;0
;2002;4;0;0;0;0;15;2;0;0;6;0;0;2;0;0;0;0;0;0;0;6;0;1;0;0;1;0;2;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2;0;0;1;0;1;2;0;0;1;0;0;1;0;0;1;32;10;0;0
;2003;5;0;0;0;0;15;2;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;2;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;4;0;0;1;0;1;1;0;0;8;0;0;1;0;0;0;33;9;0;0
;2004;5;0;0;0;0;24;3;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;6;0;1;1;0;1;2;0;0;8;0;0;0;0;0;1;27;10;1;0
;2005;5;0;0;0;0;27;3;0;0;1;0;0;0;0;0;0;0;2;0;0;6;0;2;0;0;0;0;1;1;0;1;1;1;2;0;0;0;0;0;1;0;1;0;5;1;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;5;0;1;1;1;1;2;0;0;9;0;0;0;0;0;1;26;9;1;0
;2006;5;0;0;0;0;28;3;0;0;1;0;0;0;0;0;0;0;2;0;0;5;0;2;0;0;0;0;1;1;0;1;1;2;2;0;0;0;0;0;1;0;0;0;4;1;0;0;0;0;0;0;0;2;0;3;0;0;1;0;0;0;4;0;1;1;0;1;2;0;0;8;0;0;0;0;0;0;21;7;1;0
;2007;5;0;0;0;0;29;7;0;0;1;0;0;0;0;0;0;0;2;0;0;8;0;2;0;0;0;1;2;1;0;1;0;2;2;0;0;0;0;0;1;0;0;0;5;1;1;2;0;0;0;0;0;2;0;3;0;0;1;0;0;0;5;0;1;1;0;1;2;0;0;8;0;0;0;0;0;0;21;11;1;0
