Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Türkiye;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
;2007;25;2;6;11;5;116;52;0;2;16;0;34;3;1;0;2;2;1;5;6;50;15;16;3;16;6;2;7;19;17;9;0;2;11;7;0;8;7;2;1;6;9;0;22;19;3;10;0;3;7;14;0;29;25;0;2;5;10;2;8;16;18;0;1;4;22;7;21;1;1140;7;4;3;3;5;7;1;12;256;86;5;0
;2008;26;2;11;7;6;129;54;0;2;16;0;32;3;6;0;4;2;1;6;7;55;19;14;4;14;5;2;8;34;23;8;0;1;12;7;0;11;6;2;1;6;18;0;29;15;9;10;0;4;7;16;1;32;30;0;2;5;9;2;8;26;31;0;1;4;30;14;19;0;1514;9;5;8;6;7;8;1;12;477;107;6;0
;2009;27;1;11;7;5;146;62;0;1;20;0;21;3;6;0;5;2;3;6;6;54;26;9;4;14;5;2;17;35;33;8;0;2;11;7;0;11;6;3;1;7;18;0;35;23;9;10;0;4;8;16;4;31;31;4;2;5;11;2;9;23;33;1;1;9;24;18;24;0;1647;7;5;10;3;15;6;1;12;525;102;19;0
;2010;26;3;21;4;6;178;62;1;1;24;0;31;3;6;0;4;3;3;7;6;63;26;20;4;14;5;2;17;35;33;8;0;2;19;11;0;17;6;3;1;7;18;0;44;23;10;11;4;4;18;22;4;31;32;3;10;8;20;1;9;18;33;1;1;14;18;16;20;0;1834;7;5;10;3;16;8;1;10;575;110;14;0
;2011;24;3;21;4;6;174;64;1;1;18;0;29;3;6;0;3;3;3;7;6;66;26;20;4;14;8;2;17;21;20;8;0;1;27;9;0;17;6;4;1;7;22;0;37;37;8;9;4;6;18;20;4;39;25;3;9;8;15;2;11;18;33;1;1;21;22;16;33;0;1917;7;5;13;3;17;9;4;10;647;112;14;0
;2012;30;3;21;4;6;166;60;0;3;21;4;27;3;11;0;3;3;3;7;6;65;19;27;4;21;5;2;18;28;19;8;0;1;27;9;0;17;6;2;1;7;27;0;42;49;14;9;4;6;18;28;11;35;37;3;9;8;15;7;9;27;28;1;0;17;28;19;29;1;1998;7;5;13;4;17;9;4;10;665;105;11;0
;2013;31;3;17;5;6;196;66;0;3;23;3;25;3;12;0;4;3;3;0;6;67;19;27;6;17;5;2;18;27;33;7;0;0;29;9;0;25;6;2;1;7;23;0;40;49;15;9;4;6;18;27;10;33;37;3;9;5;20;8;5;27;34;6;0;17;27;16;29;1;2102;12;8;13;4;17;12;4;10;704;105;19;0
;2014;30;4;15;5;6;190;68;0;3;30;5;26;4;12;0;4;3;3;12;7;70;19;37;6;16;5;2;18;27;38;7;0;0;34;11;0;25;6;3;2;7;33;4;43;46;15;10;10;6;18;30;8;33;44;3;9;5;22;8;7;23;26;11;0;17;29;22;29;1;2170;12;9;13;3;14;11;4;10;705;96;21;0
;2015;37;5;17;5;6;212;86;0;3;30;2;32;4;12;0;4;4;3;7;8;75;20;44;6;16;10;2;17;27;38;7;0;0;33;9;0;19;6;6;2;7;35;4;56;51;21;10;10;6;20;29;6;23;39;3;9;5;17;8;10;35;24;11;0;16;29;32;29;1;2356;10;9;13;5;14;16;6;11;778;113;21;0
;2016;38;5;17;5;10;216;86;0;3;37;6;25;4;11;0;6;4;2;15;7;63;27;42;6;22;9;5;23;29;38;12;0;0;33;15;1;19;7;7;2;7;35;4;66;49;14;12;6;6;18;29;12;30;45;3;6;5;16;7;10;34;25;5;0;9;30;24;29;0;2483;17;15;19;6;14;19;6;11;825;135;23;0
